timestamp,left_foot_clearance,right_foot_clearance
0.6,0.135939315,0.001399419
0.633333333333333,0.132404757,0.001620969
0.666666666666667,0.128460986,0.001827396
0.7,0.123897088,0.002029753
0.733333333333333,0.118619415,0.002238865
0.766666666666667,0.112788474,0.002466046
0.8,0.106744166,0.002722358
0.833333333333333,0.100798020,0.003023446
0.866666666666667,0.095064771,0.003392212
0.9,0.089451888,0.003843931
0.933333333333333,0.083785555,0.004354669
0.966666666666667,0.077964418,0.004867716
1,0.072017228,0.005358264
1.03333333333333,0.066028243,0.005880267
1.06666666666667,0.060038316,0.006519441
1.1,0.054051941,0.007295179
1.13333333333333,0.048127003,0.008138331
1.16666666666667,0.042406367,0.008992952
1.2,0.037034902,0.009914070
1.23333333333333,0.032082904,0.011010962
1.26666666666667,0.027602893,0.012285558
1.3,0.023732334,0.013568155
1.33333333333333,0.020657391,0.014660945
1.36666666666667,0.018444786,0.015547899
1.4,0.016950774,0.016417990
1.43333333333333,0.015952678,0.017469394
1.46666666666667,0.015368786,0.018719816
1.5,0.015298159,0.020015440
1.53333333333333,0.015835869,0.021208050
1.56666666666667,0.016884699,0.022305810
1.6,0.018159134,0.023451052
1.63333333333333,0.019357406,0.024773731
1.66666666666667,0.020320165,0.026277676
1.7,0.021034789,0.027852770
1.73333333333333,0.021513591,0.029381937
1.76666666666667,0.021686456,0.030838356
1.8,0.021407606,0.032293433
1.83333333333333,0.020550805,0.033851634
1.86666666666667,0.019094508,0.035589369
1.9,0.017140613,0.037537528
1.93333333333333,0.014888853,0.039681038
1.96666666666667,0.012595893,0.041956313
2,0.010504948,0.044284149
2.03333333333333,0.008710422,0.046625579
2.06666666666667,0.007151267,0.049097204
2.1,0.005727348,0.051936288
2.13333333333333,0.004425022,0.055260884
2.16666666666667,0.003392188,0.058926817
2.2,0.002822124,0.062623534
2.23333333333333,0.002758266,0.066153387
2.26666666666667,0.003024465,0.069608940
2.3,0.003355505,0.073250294
2.33333333333333,0.003594151,0.077225373
2.36666666666667,0.003753209,0.081440395
2.4,0.003907004,0.085689850
2.43333333333333,0.004065853,0.089862624
2.46666666666667,0.004162686,0.093987991
2.5,0.004126545,0.098105233
2.53333333333333,0.003940648,0.102141065
2.56666666666667,0.003634994,0.105927403
2.6,0.003249652,0.109305549
2.63333333333333,0.002821771,0.112186843
2.66666666666667,0.002400392,0.114527278
2.7,0.001935288,0.116281521
2.73333333333333,0.001485619,0.117408907
2.76666666666667,0.001194773,0.117878381
2.8,0.001006834,0.117772143
2.83333333333333,0.000873367,0.117319154
2.86666666666667,0.000730693,0.116721873
2.9,0.000546018,0.116004801
2.93333333333333,0.000340833,0.114956054
2.96666666666667,0.000165267,0.113240378
3,0.000052297,0.110621313
3.03333333333333,0.000000607,0.107116981
3.06666666666667,0.000000000,0.102963303
3.1,0.000031703,0.098435873
3.13333333333333,0.000126543,0.093692812
3.16666666666667,0.000284153,0.088747249
3.2,0.000475417,0.083553509
3.23333333333333,0.000649013,0.078111055
3.26666666666667,0.000770698,0.072492132
3.3,0.000844069,0.066779495
3.33333333333333,0.000890896,0.060996130
3.36666666666667,0.000916327,0.055110822
3.4,0.000899026,0.049108229
3.43333333333333,0.000817271,0.043040137
3.46666666666667,0.000676394,0.037006192
3.5,0.000500611,0.031103125
3.53333333333333,0.000000000,0.025394562
3.56666666666667,0.000000000,0.019826026
3.6,0.000000000,0.014588620
3.63333333333333,0.000000000,0.009836873
3.66666666666667,0.000000000,0.005904301
3.7,0.000215077,0.003921216
3.73333333333333,0.000965808,0.001775817
3.76666666666667,0.001963401,0.000596559
3.8,0.006644754,0.003673532
3.83333333333333,0.010761159,0.006550493
3.86666666666667,0.014379160,0.009238784
3.9,0.017417201,0.011790681
3.93333333333333,0.019789904,0.014226689
3.96666666666667,0.021604123,0.016498646
4,0.022898766,0.018525989
4.03333333333333,0.024062845,0.020239113
4.06666666666667,0.025227154,0.021764332
4.1,0.026383820,0.023168878
4.13333333333333,0.027539109,0.024327939
4.16666666666667,0.028797433,0.025046348
4.2,0.030242078,0.025222683
4.23333333333333,0.031867266,0.024917615
4.26666666666667,0.033628076,0.024259142
4.3,0.035511608,0.023336006
4.33333333333333,0.037746535,0.022406388
4.36666666666667,0.040302634,0.021454623
4.4,0.042960507,0.020302076
4.43333333333333,0.045683900,0.018973733
4.46666666666667,0.048451025,0.017499479
4.5,0.051251338,0.015916162
4.53333333333333,0.054083798,0.014268909
4.56666666666667,0.057384564,0.013034369
4.6,0.061247423,0.012327504
4.63333333333333,0.065426118,0.011885636
4.66666666666667,0.069967156,0.011688216
4.7,0.074937632,0.011687018
4.73333333333333,0.080414769,0.011816729
4.76666666666667,0.086066719,0.012008606
4.8,0.091018167,0.012201448
4.83333333333333,0.096234984,0.012346417
4.86666666666667,0.101648756,0.012406750
4.9,0.107181040,0.012356393
4.93333333333333,0.112756891,0.012180674
4.96666666666667,0.118307232,0.011878656
5,0.123762002,0.011464570
5.03333333333333,0.129041954,0.010966083
5.06666666666667,0.134056319,0.010419135
5.1,0.138708182,0.009860912
5.13333333333333,0.142904038,0.009323170
5.16666666666667,0.146562058,0.008827638
5.2,0.149615716,0.008384065
5.23333333333333,0.152013561,0.007990340
5.26666666666667,0.153719079,0.007633614
5.3,0.154714331,0.007291906
5.33333333333333,0.155006828,0.006936902
5.36666666666667,0.154633695,0.006539253
5.4,0.153655492,0.006076606
5.43333333333333,0.152137364,0.005542267
5.46666666666667,0.150124811,0.004950519
5.5,0.147627885,0.004335096
