timestamp,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,chest_x,chest_y,chest_z,head_x,head_y,head_z
0.0,-0.036050130093898174,0.1556230962576102,0.40683849381309084,-0.03672136943534835,-0.1358933165686894,0.413787629776308,-0.03638574976462326,0.009864889844460413,0.41031306179469945,-0.07259831329677434,0.01456976078573618,0.5873745018406044
0.0333333333333333,-0.03582081950570348,0.1560107297652251,0.4067102667806143,-0.03651431527133894,-0.1354989244578232,0.4139352621705219,-0.03616756738852121,0.010255902653700955,0.4103227644755681,-0.07228593638014708,0.01513134141539408,0.5873988290284586
0.0666666666666666,-0.035848443363028656,0.15654598193433167,0.40650210905401263,-0.03657864336415279,-0.13495390376745928,0.41410759679665593,-0.03621354336359073,0.010796039083436185,0.4103048529253343,-0.0723516978280308,0.015907095857170907,0.5873702363570872
0.1,-0.03610845604130154,0.1571452780915743,0.4062477827539886,-0.03688440778648648,-0.1343430691335533,0.41427905481107513,-0.03649643191389401,0.011401104479010514,0.41026341878253186,-0.07275659787352792,0.016776101721868934,0.5872960397553142
0.133333333333333,-0.03632870981007275,0.15754107033800518,0.40607481578766735,-0.03713621124406828,-0.13393930784154232,0.41438728099026495,-0.036732460527070514,0.011800881248231435,0.4102310483889662,-0.07309442956486023,0.01735026787289293,0.5872374060009418
0.166666666666667,-0.03629099660667489,0.15756006296605737,0.4060708191191816,-0.03709903054877753,-0.13391992582640766,0.41439687549030896,-0.03669501357772621,0.011820068569824854,0.41023384730474527,-0.07304082290740524,0.01737782501885884,0.5872432611976158
0.2,-0.03606939842545087,0.15731309873802277,0.40618629651843735,-0.036856028428910545,-0.13417190341434654,0.4143370470037152,-0.03646271342718071,0.011570597661838117,0.4102616717610763,-0.0727083117545749,0.01701953074119602,0.5872950156527275
0.233333333333333,-0.03596275623486027,0.1570753016280833,0.40628776722802695,-0.03673106790096156,-0.13441442566062708,0.41426953284343637,-0.036346912067910915,0.011330437983728103,0.41027865003573166,-0.07254256476044696,0.016674609267930234,0.5873254056646336
0.266666666666667,-0.03620147371123081,0.15699728630976578,0.40629672089398067,-0.03696913680326742,-0.13449396936124833,0.41422253698539535,-0.036585305257249116,0.01125165847425873,0.410259628939688,-0.0728838360849182,0.016561464747474785,0.5872863549907773
0.3,-0.036729649699670866,0.1569704633244677,0.4062596786457378,-0.03750575591590818,-0.1345213153408985,0.41416541261828127,-0.03711770280778952,0.011224573991784599,0.41021254563200954,-0.07364594838653965,0.01652256553282686,0.5871923684363148
0.333333333333333,-0.037272356184164204,0.15676508974960218,0.40628954960345304,-0.03804458803759383,-0.13473065108664797,0.4140482049181689,-0.03765847211087902,0.011017219331477103,0.41016887726081097,-0.07442002869388419,0.01622475903031088,0.5871030701324922
0.366666666666667,-0.037606270591594604,0.15624875605671945,0.4064576419008705,-0.03834831929345149,-0.13525661660713978,0.4138486548105442,-0.03797729494252305,0.010496069724789829,0.4101531483557074,-0.07487643204320905,0.01547627411751428,0.5870652462029299
0.4,-0.037768996313815625,0.1554532923174326,0.4067474607687362,-0.03845755558182188,-0.13606599765333396,0.4135731080696789,-0.038113275947818756,0.00969364733204932,0.41016028441920754,-0.07507115136718413,0.014323818657433957,0.5870696286530778
0.433333333333333,-0.038025996187186495,0.1544884464233139,0.40709097699700947,-0.038650131720466954,-0.1370462276671537,0.4132313562852334,-0.038338063953826725,0.0087211093780801,0.41016116664112146,-0.07539299577330803,0.012927037704524323,0.5870608029155925
0.466666666666667,-0.03864802332308726,0.1534589595571911,0.4074216465058518,-0.03920727855745208,-0.13809032475902216,0.41283108716908234,-0.03892765094026967,0.007684317399084466,0.41012636683746706,-0.07623695814320441,0.011437971206168967,0.586982706272635
0.5,-0.03969334128173059,0.15244883041873733,0.4077002732137273,-0.040191965718753664,-0.13911298355913043,0.4123928208808683,-0.03994265350024213,0.006667923429803448,0.4100465470472978,-0.07768970256574081,0.009978198369280766,0.5868188341455465
