timestamp,root_pos_x,root_pos_y,root_pos_z,root_quat_x,root_quat_y,root_quat_z,root_quat_w,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_pitch_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_pitch_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_contact,right_contact
0,-0.674208085672,-1.85017134143,0.612434970987,0.0278833209666244,-0.0398889632549703,0.7554834487005867,0.6533575971562463,-0.524124092635553,0.1250523764648277,0.470355701332692,0.5743951966412161,-0.2223904721093966,0.3686112310126683,-0.4179040164323649,-0.0737929515106432,0.1174839884827716,0.4625884526606684,-0.0818410451738664,0.0753485818012101,0,1
0.0333333333333333,-0.673468729385,-1.84334726281,0.61387378799,0.0273367319553192,-0.04009950772519,0.7548848976317418,0.6540592663464951,-0.4952817451563504,0.0970488931933208,0.4939985251486347,0.6332614780652414,-0.2056996179191116,0.3932850426944418,-0.3914346428894781,-0.0754293721118126,0.102467130399865,0.449796486165326,-0.0842726174797794,0.0673194719718755,0,1
0.0666666666666666,-0.673003827533,-1.83688530972,0.615126158849,0.0269136715077123,-0.0406570811273823,0.754248263532551,0.6547764603269637,-0.4669657500783177,0.0684442374259641,0.5168162678695569,0.6915558640740262,-0.1915062867273439,0.4159370761613343,-0.3652892854878997,-0.0771923089780476,0.0880116983761055,0.4372711316034054,-0.0867300467199644,0.059560907150479,0,1
0.1,-0.672719978552,-1.83076885454,0.616201996905,0.0266461491495172,-0.0414687661451356,0.7534393287514043,0.6556672189918719,-0.4395726645659364,0.0388070420834038,0.5379979975598446,0.7486664756724429,-0.1819453562686864,0.4347360538451737,-0.3397904448898585,-0.0791748383074641,0.0745769920579066,0.4252303076304782,-0.0892449699770683,0.0523160649419973,0,1
0.133333333333333,-0.672287738487,-1.82456692792,0.617208126157,0.026476056438784,-0.0420676356668926,0.7523157191868611,0.6569249509108358,-0.4132463563966402,0.0079848920166546,0.5567419439315721,0.8039780522547715,-0.1785432639365656,0.4484090517860213,-0.3151821623577353,-0.0814181126022288,0.0624172627609058,0.4138105618197642,-0.0918752821450786,0.0457785452370808,0,1
0.166666666666667,-0.67145321729,-1.81798042585,0.618211967608,0.0263367459509511,-0.0421114842423875,0.7509151948019135,0.6585281838488181,-0.3878498295297099,-0.0238209216424432,0.5722919397415777,0.8568818893763318,-0.1820559615813784,0.4564150038240533,-0.2915898508940245,-0.0839042230911605,0.0515530304354386,0.4030483441139545,-0.0947034446853703,0.0400744399054256,0,1
0.2,-0.670283532724,-1.81123120246,0.619172541391,0.0262304763563952,-0.0417554535828926,0.7494831581935419,0.6601843983240121,-0.3629947442389669,-0.0560463095995825,0.5839802452828815,0.9067973620064176,-0.1924336542635001,0.4589772147445847,-0.2689855522195651,-0.0865630454970455,0.0417952929634391,0.39287862221194,-0.0978261402659191,0.0352527001726121,0,1
0.233333333333333,-0.669083679049,-1.80486033467,0.620001040193,0.026238113905725,-0.0414930621427465,0.7482527419639825,0.6615948316878467,-0.3381203130118172,-0.0878263779320585,0.5912729125360547,0.9532028291254562,-0.2089002074339283,0.4569781348677926,-0.2471781158669749,-0.0892890702795731,0.032808740613796,0.3831543839055657,-0.1013389274725649,0.0312862963373809,0,1
0.266666666666667,-0.668077910786,-1.79916537466,0.620668413126,0.0264531962851068,-0.0416550300094641,0.7471997897331725,0.6627650874208109,-0.3126050861652995,-0.1181162472424905,0.5938108212676267,0.9956692520731016,-0.2301162002698973,0.451791601488221,-0.2258407416573124,-0.0919633532879802,0.0241954684634874,0.3736856574256118,-0.1053197719278057,0.0280846910311682,0,1
0.3,-0.667217841763,-1.79386807263,0.621238162977,0.0268893438377191,-0.0421052467111291,0.7460531701035715,0.6640096224948726,-0.2858872042138264,-0.1458433225056945,0.5914363192276272,1.0338870364901855,-0.2543879455855652,0.4451374942553805,-0.2045736234800613,-0.094476066484182,0.0155813750853139,0.364289287534485,-0.1098136689184886,0.0255156581160401,0,1
