timestamp,left_heel_x,left_heel_y,left_toe_x,left_toe_y,right_heel_x,right_heel_y,right_toe_x,right_toe_y
0.0,-0.4279570346016846,0.09625201009015279,-0.2985833298495029,0.11138395603907941,-0.0579066623283076,-0.07707294179239278,0.11951725914320357,-0.1040944034233827
0.0333333333333333,-0.4237720952606401,0.09343411379646692,-0.30083543323339623,0.11574063751561625,-0.0641875767233302,-0.07493522153772517,0.11327998373195447,-0.10126275016151835
0.0666666666666666,-0.41904744701326657,0.08990346703270526,-0.3026192793766985,0.11919646939263892,-0.07050941044591962,-0.07295860321366407,0.10700062607847743,-0.0985546804831171
0.1,-0.41395076624820876,0.08627789814758946,-0.3036364478685625,0.12226098013619817,-0.07680154947856824,-0.07115293847399955,0.10075731682343989,-0.09593288655117944
0.133333333333333,-0.40867597568408726,0.08302910655057988,-0.30365618658932153,0.1253683223834201,-0.08299736759909676,-0.0695084041514298,0.09462020249407205,-0.09336890153199781
0.166666666666667,-0.4033966054385787,0.08043895175514473,-0.3025352951662371,0.12879649887258637,-0.08904599652783302,-0.0680033286951793,0.08863992927341487,-0.09085222029397035
0.2,-0.3982336594339476,0.07859950517640257,-0.3002248658849233,0.13262634119804736,-0.09492818873984546,-0.06661519988327075,0.08283307227084322,-0.0883929682488325
0.233333333333333,-0.393244714661887,0.07744501859112113,-0.2967662053472223,0.1367480269907786,-0.10066865069861657,-0.06533086172892219,0.07717127177352744,-0.08601898509897095
0.266666666666667,-0.38843152027385996,0.07680350827632906,-0.29227795227737224,0.14091075731279407,-0.10633837402752226,-0.06415281275718657,0.07157992094109274,-0.083769232391042
0.3,-0.38375818022786046,0.07645759224641506,-0.2869352390279571,0.14480042945851,-0.11204460391480676,-0.06310038421198286,0.06594863058407727,-0.08168552104204221
0.333333333333333,-0.3791714316265359,0.07620317114334446,-0.28094187334796206,0.1481222746201048,-0.11790965216066067,-0.06220636894445765,0.06015248463088685,-0.07980443147840041
0.366666666666667,-0.37461589079799484,0.07589193680669293,-0.27449765817186134,0.15066359790937733,-0.12404166370963456,-0.061510648239191376,0.05408126952074163,-0.07815114072691387
0.4,-0.3700392630494549,0.07544575361525402,-0.2677645081723202,0.1523193760951435,-0.1305022719556933,-0.06105280592619311,0.047671921717227464,-0.07673666760203347
0.433333333333333,-0.36538684119105863,0.07484090156008649,-0.26083734863870556,0.15307925282858126,-0.13727876660813085,-0.06086581232456151,0.040936608593439276,-0.07555933975637041
0.466666666666667,-0.3605906220344832,0.07407360992694877,-0.2537277524981302,0.15299069915019584,-0.14427041989175848,-0.06097185770804313,0.03397671151981101,-0.07460936873101645
0.5,-0.3555615622536696,0.07312661797973286,-0.2463666132906922,0.1521206592184906,-0.15129760358377928,-0.06137958661667981,0.026973855451416326,-0.07387319207905185
0.533333333333333,-0.35019065135485167,0.07195400312991565,-0.23862572126843912,0.15053328650019646,-0.15813685574466502,-0.06208158790951893,0.020154504010509,-0.07333440151390709
0.566666666666667,-0.34435845805263077,0.07048992263610837,-0.23035087910947766,0.14828866296809823,-0.1645754642038893,-0.06305293658931557,0.013734349013027447,-0.0729714668651086
0.6,-0.33794940237420035,0.06867378055687287,-0.22139663089514983,0.14545503682696398,-0.17046888392565768,-0.06425304836579221,0.007859412310816896,-0.07275574691626958
0.633333333333333,-0.33086767164248954,0.06647710360357478,-0.21165529633571345,0.14212132249544424,-0.17577984055932616,-0.06563136320153566,0.002565747904667265,-0.0726527566112076
0.666666666666667,-0.3230524812499044,0.06391851021549742,-0.20107616187244132,0.13839847497669974,-0.18058391007469765,-0.06713412726218657,-0.0022262454976204604,-0.07262625456840213
0.7,-0.3144888037669656,0.06106056535988916,-0.18967162878100796,0.1344058832716523,-0.1850404142178475,-0.06870858610853357,-0.006681518700574068,-0.07264240864881
