timestamp,projected_gravity_x,projected_gravity_y
0.0,-0.09425428934082396,0.023835343874931685
0.0333333333333333,-0.09372708141454175,0.024781339874412847
0.0666666666666666,-0.09384177933558216,0.02608618855281527
0.1,-0.09453193460485475,0.027546385637666697
0.133333333333333,-0.09510726587276809,0.028510723009736914
0.166666666666667,-0.09501652390704898,0.028557327827405145
0.2,-0.09445119852176051,0.027956115944022406
0.233333333333333,-0.09416867227693153,0.027376593935054615
0.266666666666667,-0.09474664461548223,0.027184749431883773
0.3,-0.09603833837169115,0.027115939472024314
0.333333333333333,-0.0973491833281426,0.026611614131359172
0.366666666666667,-0.09811954584520552,0.025350872751396115
0.4,-0.09844478560396686,0.023412048008802654
0.433333333333333,-0.09898495117551026,0.021062045100658913
0.466666666666667,-0.10041030853759135,0.018555461705336167
0.5,-0.10286821767292834,0.01609709273367913
0.533333333333333,-0.10580083777225041,0.013796301214992073
0.566666666666667,-0.10815566249474998,0.011541846773013743
0.6,-0.10891812737501468,0.009003066349905121
0.633333333333333,-0.10777546363282378,0.005906984570456823
0.666666666666667,-0.1054729637547711,0.002378550219631563
0.7,-0.10343994165836862,-0.0010305062310312502
0.733333333333333,-0.10283521964622822,-0.003719577280183509
0.766666666666667,-0.10377859239681794,-0.005523181154064687
0.8,-0.10540277796933892,-0.006862473453957185
0.833333333333333,-0.10658968924093021,-0.00836966994288834
0.866666666666667,-0.10676145078851719,-0.010306341228271718
0.9,-0.106228976122309,-0.012373139861667822
0.933333333333333,-0.10590918026176203,-0.014103275432791204
0.966666666666667,-0.10653588495882638,-0.015358099863487833
1.0,-0.1079363972952758,-0.01634856703325415
1.03333333333333,-0.10911905308846638,-0.0172258923201273
1.06666666666667,-0.10923695388301376,-0.0178302987599661
1.1,-0.10843657894004174,-0.01792728854211872
1.13333333333333,-0.10756351148506693,-0.01753937384267471
1.16666666666667,-0.10702805129546233,-0.01685537828736094
1.2,-0.10623627645809318,-0.015872283422102014
1.23333333333333,-0.10434775998964024,-0.014369846695080426
1.26666666666667,-0.10145640276658824,-0.012346573010250314
1.3,-0.09872018727946082,-0.010312630540949275
1.33333333333333,-0.09722951125985238,-0.008897259072788627
1.36666666666667,-0.09691032326585919,-0.008119664490776592
1.4,-0.09666994337034773,-0.0072348570336041775
1.43333333333333,-0.09553889878628752,-0.005439137372075409
1.46666666666667,-0.09353221009701884,-0.002676980054915873
1.5,-0.09141605265836615,0.00032243415135941445
1.53333333333333,-0.08981274779578272,0.0027651134818915952
1.56666666666667,-0.08865821991157688,0.004474861649489799
1.6,-0.0874628339586977,0.0059013244857155905
1.63333333333333,-0.08595239780054392,0.007580222054145276
1.66666666666667,-0.08439941195540011,0.00962647311387109
1.7,-0.0833743078008141,0.01165547401361932
1.73333333333333,-0.08322266951603939,0.013108130169946181
1.76666666666667,-0.083780112673116,0.013692609168177876
1.8,-0.084532584429185,0.013610396520478671
1.83333333333333,-0.08496465450950347,0.013387951367451509
1.86666666666667,-0.08473248874998263,0.01344240641118967
1.9,-0.08363148484321924,0.01373804395981507
1.93333333333333,-0.0816064343425152,0.013801722710580923
